         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]        time[s]     neval      fail
      0.59       0.146148    0.000252651       0.104973    0.000200969      -0.061131    0.000101103      -0.011796    2.12177e-05      0.0369482    7.37667e-05     -0.0395903    7.52161e-05      0.0395903    7.52161e-05      0.0250978    4.30744e-05      0.0250978    4.30744e-05    -0.00440934    7.04059e-06     0.00281422    4.82297e-06    -0.00281422    4.82297e-06       0.340803   1000000         1
       0.6       0.144768     0.00025172       0.103386    0.000198963     -0.0618059    0.000102838     -0.0118279    2.13891e-05      0.0380121    7.46974e-05     -0.0392038    7.47591e-05      0.0392038    7.47591e-05      0.0247354    4.27148e-05      0.0247354    4.27148e-05    -0.00444526    7.14346e-06     0.00281959     4.8594e-06    -0.00281959     4.8594e-06       0.343498   1000000         1
      0.61        0.14334    0.000248142       0.101754    0.000195728     -0.0624719     0.00010345     -0.0118556    2.13905e-05      0.0391074    7.48189e-05     -0.0388047    7.38335e-05      0.0388047    7.38335e-05      0.0243616    4.19832e-05      0.0243616    4.19832e-05    -0.00448035    7.16398e-06       0.002824    4.85447e-06      -0.002824    4.85447e-06       0.343564   1000000         1
      0.62       0.141874    0.000245881       0.100083    0.000192571     -0.0631314     0.00010455     -0.0118777    2.14277e-05      0.0402337    7.57497e-05     -0.0383969    7.31503e-05      0.0383969    7.31503e-05      0.0239776    4.13247e-05      0.0239776    4.13247e-05    -0.00451505    7.22373e-06     0.00282714    4.85968e-06    -0.00282714    4.85968e-06       0.343345   1000000         1
      0.63       0.140364    0.000245185      0.0983646    0.000189694     -0.0637934    0.000106255     -0.0118933    2.15213e-05      0.0413903    7.76548e-05     -0.0379738    7.28107e-05      0.0379738    7.28107e-05       0.023582    4.07806e-05       0.023582    4.07806e-05    -0.00455013    7.32591e-06     0.00282877    4.87921e-06    -0.00282877    4.87921e-06       0.342797   1000000         1
      0.64       0.138799    0.000242173      0.0966105    0.000186124     -0.0644396    0.000107133      -0.011905    2.15283e-05      0.0425791    7.83123e-05     -0.0375408    7.18411e-05      0.0375408    7.18411e-05      0.0231758    4.00493e-05      0.0231758    4.00493e-05    -0.00458413     7.3652e-06     0.00282947     4.8766e-06    -0.00282947     4.8766e-06       0.344771   1000000         1
      0.65       0.137198    0.000240254      0.0948061    0.000182958     -0.0650835    0.000108477       -0.01191    2.15797e-05      0.0437995    7.97439e-05     -0.0370935    7.11857e-05      0.0370935    7.11857e-05      0.0227581    3.94098e-05      0.0227581    3.94098e-05    -0.00461783    7.44273e-06     0.00282866    4.88565e-06    -0.00282866    4.88565e-06       0.340898   1000000         1
      0.66       0.135541    0.000238773      0.0929733    0.000181606     -0.0657147    0.000110218     -0.0119074    2.17052e-05      0.0450571    8.14136e-05     -0.0366414    7.11811e-05      0.0366414    7.11811e-05      0.0223297    3.90206e-05      0.0223297    3.90206e-05    -0.00465087    7.54274e-06     0.00282611    4.91283e-06    -0.00282611    4.91283e-06       0.343095   1000000         1
      0.67       0.133841    0.000234863       0.091081    0.000176711     -0.0663455     0.00011079     -0.0118987    2.16348e-05      0.0463465    8.19061e-05       -0.03617    6.96879e-05        0.03617    6.96879e-05      0.0218885    3.80543e-05      0.0218885    3.80543e-05    -0.00468359    7.56184e-06     0.00282213    4.89107e-06    -0.00282213    4.89107e-06       0.348199   1000000         1
      0.68       0.132087    0.000232916       0.089147    0.000173788     -0.0669692    0.000112363      -0.011883    2.16932e-05      0.0476693    8.35958e-05     -0.0356872    6.91042e-05      0.0356872    6.91042e-05      0.0214358    3.74394e-05      0.0214358    3.74394e-05    -0.00471583    7.65025e-06     0.00281656    4.90164e-06    -0.00281656    4.90164e-06       0.342931   1000000         1
      0.69       0.130292    0.000231287      0.0871606    0.000169439     -0.0675834    0.000113719     -0.0118605    2.16723e-05      0.0490298    8.60946e-05     -0.0351906    6.83565e-05      0.0351906    6.83565e-05      0.0209712    3.66268e-05      0.0209712    3.66268e-05    -0.00474744    7.73486e-06      0.0028094    4.89517e-06     -0.0028094    4.89517e-06       0.341315   1000000         1
       0.7       0.128428    0.000228681      0.0851325    0.000165992     -0.0681888    0.000115011       -0.01183    2.16573e-05      0.0504229    8.79213e-05      -0.034679    6.76293e-05       0.034679    6.76293e-05      0.0204942    3.58852e-05      0.0204942    3.58852e-05    -0.00477845    7.80614e-06     0.00280041    4.88934e-06    -0.00280041    4.88934e-06       0.342827   1000000         1
      0.71       0.126505    0.000224408      0.0830606    0.000162621      -0.068781     0.00011584     -0.0117911      2.162e-05       0.051852    8.84269e-05     -0.0341517    6.64806e-05      0.0341517    6.64806e-05      0.0200053     3.5108e-05      0.0200053     3.5108e-05    -0.00480867    7.83644e-06     0.00278955    4.87708e-06    -0.00278955    4.87708e-06       0.342284   1000000         1
      0.72       0.124533    0.000223055      0.0809295    0.000159344     -0.0693693    0.000117748     -0.0117449    2.16605e-05      0.0533162    9.13152e-05     -0.0336092    6.59661e-05      0.0336092    6.59661e-05      0.0195034    3.44701e-05      0.0195034    3.44701e-05    -0.00483858    7.95438e-06      0.0027769    4.88575e-06     -0.0027769    4.88575e-06       0.342409   1000000         1
      0.73       0.122498    0.000219498      0.0787561    0.000154895     -0.0699412    0.000118632     -0.0116895    2.15558e-05      0.0548204    9.30094e-05     -0.0330529    6.48303e-05      0.0330529    6.48303e-05      0.0189891    3.35389e-05      0.0189891    3.35389e-05    -0.00486723    7.99846e-06     0.00276219    4.85878e-06    -0.00276219    4.85878e-06       0.345601   1000000         1
      0.74       0.120394    0.000214735      0.0765298    0.000149584     -0.0705125    0.000118951     -0.0116248    2.13311e-05      0.0563574    9.41274e-05     -0.0324771    6.32981e-05      0.0324771    6.32981e-05      0.0184617    3.24177e-05      0.0184617    3.24177e-05    -0.00489588    8.00373e-06     0.00274532    4.80466e-06    -0.00274532    4.80466e-06       0.340706   1000000         1
      0.75        0.11823    0.000211675      0.0742552    0.000146666     -0.0710681    0.000120375     -0.0115502    2.13052e-05      0.0579356    9.65104e-05     -0.0318877    6.27237e-05      0.0318877    6.27237e-05      0.0179216    3.17078e-05      0.0179216    3.17078e-05    -0.00492352    8.08106e-06     0.00272615    4.79719e-06    -0.00272615    4.79719e-06       0.397807   1000000         1
