z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.3,0.0436588,7.02085e-05,0.000567856,7.07411e-07,-0.0181151,2.91311e-05,-0.000235617,2.93521e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.278106,-0.115393,51.5081,10000000,0
0.35,0.0448665,7.21507e-05,0.000583562,7.26978e-07,-0.0211171,3.39588e-05,-0.000274662,3.42164e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.285799,-0.134516,51.2498,10000000,0
0.4,0.0459289,7.38591e-05,0.000597378,7.44191e-07,-0.0241199,3.87877e-05,-0.000313717,3.90817e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.292567,-0.153643,50.9768,10000000,0
0.45,0.046862,7.53597e-05,0.000609513,7.5931e-07,-0.0271174,4.3608e-05,-0.000352703,4.39385e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.298511,-0.172737,51.3518,10000000,0
0.5,0.0477468,7.67826e-05,0.000621019,7.73645e-07,-0.0301178,4.84331e-05,-0.000391728,4.88001e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.304147,-0.19185,51.5709,10000000,0
0.55,0.0486486,7.82328e-05,0.000632747,7.88255e-07,-0.0330292,5.31149e-05,-0.000429593,5.35173e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.309891,-0.210395,51.5122,10000000,0
0.6,0.0495667,7.97092e-05,0.000644686,8.0313e-07,-0.0356142,5.72718e-05,-0.000463214,5.77057e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.315739,-0.226862,51.7613,10000000,0
0.65,0.0504322,8.11011e-05,0.000655943,8.17154e-07,-0.0375579,6.03976e-05,-0.000488494,6.08551e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.321253,-0.239243,51.8388,10000000,0
0.7,0.0511727,8.22919e-05,0.000665573,8.29151e-07,-0.0385175,6.19408e-05,-0.000500974,6.24099e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.32597,-0.245356,50.7774,10000000,0
0.75,0.0517279,8.31848e-05,0.000672793,8.38147e-07,-0.0382742,6.15495e-05,-0.000497808,6.20155e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.329506,-0.243806,51.5783,10000000,0
0.8,0.0520794,8.37501e-05,0.000677363,8.43841e-07,-0.0368312,5.9229e-05,-0.000479038,5.96774e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.331745,-0.234614,52.19,10000000,0
0.1,0.0370033,5.95054e-05,0.000481312,5.99586e-07,-0.0111807,1.79798e-05,-0.00014543,1.81167e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.23571,-0.0712209,51.5394,10000000,0
0.15,0.0368669,5.92862e-05,0.000479527,5.97369e-07,-0.0121965,1.96133e-05,-0.000158639,1.97624e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.234842,-0.0776914,51.4528,10000000,0
0.2,0.0373109,6.00003e-05,0.000485297,6.04559e-07,-0.0140555,2.26029e-05,-0.000182818,2.27745e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.23767,-0.0895335,51.8193,10000000,0
0.25,0.038258,6.15233e-05,0.000497611,6.19901e-07,-0.0165369,2.65933e-05,-0.000215091,2.67951e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.243703,-0.10534,52.0304,10000000,0
0.3,0.0394003,6.33603e-05,0.000512466,6.3841e-07,-0.0192946,3.1028e-05,-0.000250958,3.12634e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.250979,-0.122906,51.2458,10000000,0
0.35,0.0404973,6.51245e-05,0.000526732,6.56183e-07,-0.0220738,3.54972e-05,-0.000287105,3.57664e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.257967,-0.14061,51.6317,10000000,0
0.4,0.0414513,6.66586e-05,0.000539139,6.71639e-07,-0.0247639,3.98233e-05,-0.000322093,4.01252e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.264044,-0.157746,51.38,10000000,0
0.45,0.0422806,6.79922e-05,0.000549924,6.85076e-07,-0.0273678,4.40107e-05,-0.00035596,4.43442e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.269327,-0.174332,51.341,10000000,0
0.5,0.0430522,6.9233e-05,0.000559958,6.97577e-07,-0.0299011,4.80845e-05,-0.000388908,4.84489e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.274242,-0.19047,50.8976,10000000,0
0.55,0.0438154,7.04604e-05,0.000569883,7.09942e-07,-0.0322964,5.19366e-05,-0.000420062,5.233e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.279103,-0.205728,51.6988,10000000,0
0.6,0.0445652,7.16662e-05,0.000579634,7.22091e-07,-0.0343713,5.52732e-05,-0.000447048,5.56918e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.28388,-0.218945,51.0055,10000000,0
0.65,0.0452464,7.27616e-05,0.000588493,7.33127e-07,-0.0358878,5.77119e-05,-0.000466771,5.8149e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.288219,-0.228605,51.6498,10000000,0
0.7,0.0458046,7.36594e-05,0.000595753,7.42172e-07,-0.0365952,5.88495e-05,-0.000475972,5.92952e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.291775,-0.233111,51.6843,10000000,0
0.75,0.0462007,7.42964e-05,0.000600904,7.48589e-07,-0.036349,5.84535e-05,-0.000472768,5.88961e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.294298,-0.231542,51.6508,10000000,0
0.8,0.04643,7.46651e-05,0.000603884,7.52303e-07,-0.0351805,5.65745e-05,-0.000457569,5.70027e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.295759,-0.224099,51.6871,10000000,0
0.1,0.0316565,5.09071e-05,0.000411762,5.12946e-07,-0.0112223,1.80467e-05,-0.000145971,1.81841e-07,0.156986,0.000252452,0.00204195,2.54373e-06,0.201651,-0.0714858,51.5141,10000000,0
0.15,0.0316406,5.08817e-05,0.000411547,5.12683e-07,-0.0121883,1.96002e-05,-0.000158533,1.97492e-07,0.156986,0.000252452,0.00204191,2.5437e-06,0.20155,-0.0776395,51.565,10000000,0
0.2,0.0321432,5.16899e-05,0.000418079,5.20824e-07,-0.0140057,2.25228e-05,-0.00018217,2.26938e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.204751,-0.0892163,50.9355,10000000,0
0.25,0.0330769,5.31915e-05,0.000430221,5.35951e-07,-0.016463,2.64745e-05,-0.00021413,2.66754e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.210699,-0.104869,51.3091,10000000,0
0.3,0.0341679,5.4946e-05,0.000444409,5.53627e-07,-0.0192182,3.09052e-05,-0.000249965,3.11396e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.217649,-0.12242,50.9238,10000000,0
0.35,0.0352119,5.66249e-05,0.000457987,5.70542e-07,-0.0220161,3.54045e-05,-0.000286354,3.56729e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.224299,-0.140242,51.1557,10000000,0
0.4,0.0361327,5.81057e-05,0.000469962,5.85461e-07,-0.0247444,3.97919e-05,-0.000321839,4.00935e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.230165,-0.157621,51.2673,10000000,0
0.45,0.0369483,5.94173e-05,0.000480569,5.98676e-07,-0.0274034,4.40679e-05,-0.000356422,4.44019e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.23536,-0.174559,51.4615,10000000,0
0.5,0.037706,6.06357e-05,0.000490422,6.10952e-07,-0.0300051,4.82518e-05,-0.000390261,4.86174e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.240187,-0.191132,51.5013,10000000,0
0.55,0.0384256,6.17929e-05,0.00049978,6.22611e-07,-0.0324749,5.22235e-05,-0.000422383,5.26191e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.24477,-0.206864,51.4605,10000000,0
0.6,0.0390781,6.28423e-05,0.000508267,6.33183e-07,-0.0346182,5.56702e-05,-0.000450259,5.60919e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.248927,-0.220518,51.5662,10000000,0
0.65,0.039605,6.36897e-05,0.000515119,6.4172e-07,-0.0361833,5.81872e-05,-0.000470615,5.86278e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.252284,-0.230487,51.6896,10000000,0
0.7,0.0399589,6.42588e-05,0.000519721,6.47453e-07,-0.0369041,5.93462e-05,-0.000479988,5.97956e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.254538,-0.235078,51.7397,10000000,0
0.75,0.0401229,6.45224e-05,0.000521852,6.50109e-07,-0.0366248,5.88972e-05,-0.000476355,5.93431e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.255582,-0.2333,51.2895,10000000,0
